Stock Balance ,KABAC CABLE ACCESSORIES (M) SDN BHD (729374-H),,,,,
,,,,,,
,,,,,,
,,,,,,
Item Code,Item Description,Location,UOM,Bal. Qty,Avg. Cost,Total Cost
,,,,,,
,,,,,,
,,,,,,
CM-EC-1-W ( - ),3.0-4.2mm CABLE MARKER ( - )(WHITE),HQ,ROLL,76.00,1.23,93.48
CM-EC-1-W ( . ),3.0-4.2mm CABLE MARKER ( . )(WHITE),HQ,ROLL,20.00,1.23,24.60
CM-EC-1-W ( / ),3.0-4.2mm CABLE MARKER  ( / )(WHITE),HQ,ROLL,77.00,1.23,94.71
CM-EC-1-W ( + ),3.0-4.2mm CABLE MARKER ( + )(WHITE),HQ,ROLL,77.00,1.23,94.71
CM-EC-1-W ( 0 ),3.0-4.2mm CABLE MARKER ( 0 )(WHITE),HQ,ROLL,70.00,1.23,86.10
CM-EC-1-W ( 1 ),3.0-4.2mm CABLE MARKER ( 1 )(WHITE),HQ,ROLL,57.00,1.23,70.11
CM-EC-1-W ( 2 ),3.0-4.2mm CABLE MARKER ( 2 )(WHITE),HQ,ROLL,59.00,1.23,72.57
CM-EC-1-W ( 3 ),3.0-4.2mm CABLE MARKER ( 3 )(WHITE),HQ,ROLL,64.00,1.23,78.72
CM-EC-1-W ( 4 ),3.0-4.2mm CABLE MARKER ( 4 )(WHITE),HQ,ROLL,67.00,1.23,82.41
CM-EC-1-W ( 5 ),3.0-4.2mm CABLE MARKER ( 5 )(WHITE),HQ,ROLL,67.00,1.23,82.41
CM-EC-1-W ( 6 ),3.0-4.2mm CABLE MARKER ( 6 )(WHITE),HQ,ROLL,69.00,1.23,84.87
CM-EC-1-W ( 7 ),3.0-4.2mm CABLE MARKER ( 7 )(WHITE),HQ,ROLL,68.00,1.23,83.64
CM-EC-1-W ( 8 ),3.0-4.2mm CABLE MARKER ( 8 )(WHITE),HQ,ROLL,69.00,1.23,84.87
CM-EC-1-W ( 9 ),3.0-4.2mm CABLE MARKER ( 9 )(WHITE),HQ,ROLL,67.00,1.23,82.41
CM-EC-1-W ( A ),3.0-4.2mm CABLE MARKER ( A )(WHITE),HQ,ROLL,79.00,1.23,97.17
CM-EC-1-W ( B ),3.0-4.2mm CABLE MARKER ( B )(WHITE),HQ,ROLL,86.00,1.23,105.78
CM-EC-1-W ( BLANK ),3.0-4.2mm CABLE MARKER ( BLANK )(WHITE),HQ,ROLL,50.00,1.23,61.50
CM-EC-1-W ( C ),3.0-4.2mm CABLE MARKER ( C )(WHITE),HQ,ROLL,81.00,1.23,99.63
CM-EC-1-W ( D ),3.0-4.2mm CABLE MARKER ( D )(WHITE),HQ,ROLL,91.00,1.23,111.93
CM-EC-1-W ( E ),3.0-4.2mm CABLE MARKER ( E )(WHITE),HQ,ROLL,93.00,1.23,114.39
